Business_Sector,Business_Subsector,Business_Model,Ownership_Type,Registration_Year,Duration_Operation,Business_Age,Initial_Capital,Num_Employees,Location,Owner_Age,Owner_Gender,Business_Type,Growth_Indicator,Business_Status
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Hybrid,Sole Proprietorship,2013,12,12,5052907,16,Rwamagana,30,Male,SME,0.12,Operating
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Product-based,Limited Company,2011,14,14,3554836,2,Rusizi,47,Male,SME,0.49,Operating
Construction & Real Estate,Road construction & maintenance,Hybrid,Cooperative,2014,11,11,11800253,42,Rwamagana,39,Male,SME,0.18,Operating
Hospitality & Tourism,Travel agencies & tour operators,Hybrid,Limited Company,2024,1,1,1615226,5,Rubavu,32,Female,Startup,-0.15,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Hybrid,Partnership,2007,18,18,6707519,39,Rubavu,46,Female,Micro-enterprise,0.05,Closed
Energy & Utilities,Renewable energy technologies,Product-based,Limited Company,2003,22,22,13337281,47,Kigali,60,Male,Micro-enterprise,0.22,Operating
Information & Communication Technology (ICT),"Software development, IT services & startups",Service-based,Partnership,2013,12,0,1154718,35,Rwamagana,58,Female,Micro-enterprise,0.03,Operating
Hospitality & Tourism,Conference & events (MICE industry),Product-based,Limited Company,2000,25,0,3529235,18,Rubavu,51,Male,Startup,0.07,Operating
Information & Communication Technology (ICT),Data centers & cloud services,Hybrid,Limited Company,2000,25,25,9671040,43,Huye,34,Male,Micro-enterprise,0.26,Operating
Hospitality & Tourism,Cultural & eco-tourism services,Hybrid,Sole Proprietorship,2007,18,18,5975539,29,Rubavu,32,Female,Startup,0.45,Closed
Wholesale & Retail Trade,E-commerce & distribution,Service-based,Cooperative,2025,0,0,2461738,31,Nyagatare,43,Female,SME,-0.01,Operating
Financial & Insurance Services,"Capital markets, investment funds",Hybrid,Partnership,2004,21,21,804147,4,Kigali,54,Male,SME,0.04,Closed
Mining & Quarrying,Gold,Product-based,Partnership,2002,23,23,4701403,29,Rusizi,53,Male,Micro-enterprise,0.15,Operating
"Arts, Entertainment & Recreation",Gaming & leisure activities,Hybrid,Sole Proprietorship,2010,15,15,8963437,15,Huye,31,Male,Startup,-0.13,Closed
Professional & Business Services,Management consulting & advisory,Product-based,Sole Proprietorship,2020,5,5,995991,2,Rusizi,45,Female,SME,-0.03,Operating
Professional & Business Services,"Legal, auditing & accounting firms",Hybrid,Cooperative,2016,9,9,2951159,33,Huye,19,Male,Micro-enterprise,0.28,Closed
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Service-based,Cooperative,2011,14,14,1271257,49,Rubavu,37,Female,Micro-enterprise,-0.17,Operating
Financial & Insurance Services,Banking (commercial & microfinance),Service-based,Cooperative,2019,6,6,7017885,25,Rwamagana,29,Female,Startup,-0.03,Operating
Hospitality & Tourism,Cultural & eco-tourism services,Hybrid,Partnership,2013,12,12,528428,2,Rusizi,58,Male,SME,0.03,Closed
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Hybrid,Sole Proprietorship,2006,19,19,3174033,20,Nyagatare,59,Female,Startup,0.47,Operating
Professional & Business Services,"Advertising, media & marketing",Hybrid,Sole Proprietorship,2018,7,7,2075529,7,Rusizi,40,Female,Micro-enterprise,-0.03,Closed
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Product-based,Limited Company,2022,3,3,2438862,27,Huye,58,Male,Startup,0.08,Operating
Hospitality & Tourism,Conference & events (MICE industry),Hybrid,Partnership,2024,1,1,7157606,43,Rwamagana,46,Female,Startup,-0.15,Operating
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Product-based,Sole Proprietorship,2017,8,8,1093883,27,Huye,42,Female,SME,-0.15,Operating
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Hybrid,Sole Proprietorship,2014,11,11,5739862,14,Huye,21,Female,Micro-enterprise,-0.05,Closed
Public Administration & Defense,Government services,Service-based,Sole Proprietorship,2013,12,12,8050384,42,Rusizi,44,Female,Micro-enterprise,0.21,Operating
Public Administration & Defense,Government services,Service-based,Cooperative,2009,16,16,3163978,42,Musanze,57,Female,Startup,0.01,Operating
Hospitality & Tourism,"Hotels, lodges, restaurants, cafés",Service-based,Sole Proprietorship,2002,23,23,6285409,12,Rubavu,21,Female,SME,0.46,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Service-based,Cooperative,2007,18,18,9582374,20,Huye,41,Female,Startup,0.13,Operating
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Hybrid,Limited Company,2010,15,15,1420501,31,Rwamagana,52,Male,Startup,0.33,Operating
Wholesale & Retail Trade,E-commerce & distribution,Hybrid,Cooperative,2016,9,9,992449,43,Musanze,54,Female,Micro-enterprise,0.09,Operating
Nonprofit & Community Organizations,Religious organizations,Product-based,Partnership,2007,18,18,4397512,20,Kigali,54,Male,SME,-0.14,Operating
Hospitality & Tourism,Conference & events (MICE industry),Product-based,Sole Proprietorship,2000,25,25,393512,26,Kigali,60,Male,SME,0.2,Operating
